stage,approx_distance_km,current_fare_lkr,new_fare_lkr,effective_from,service_type,source
1,1,27,30,2026-03-24,normal,Normal Sinhala 350.pdf
2,2,35,39,2026-03-24,normal,Normal Sinhala 350.pdf
3,3,45,50,2026-03-24,normal,Normal Sinhala 350.pdf
4,4,55,62,2026-03-24,normal,Normal Sinhala 350.pdf
5,5,66,74,2026-03-24,normal,Normal Sinhala 350.pdf
6,6,76,85,2026-03-24,normal,Normal Sinhala 350.pdf
7,7,86,97,2026-03-24,normal,Normal Sinhala 350.pdf
8,8,90,101,2026-03-24,normal,Normal Sinhala 350.pdf
9,9,97,109,2026-03-24,normal,Normal Sinhala 350.pdf
10,10,104,116,2026-03-24,normal,Normal Sinhala 350.pdf
11,11,111,124,2026-03-24,normal,Normal Sinhala 350.pdf
12,12,116,130,2026-03-24,normal,Normal Sinhala 350.pdf
13,13,123,138,2026-03-24,normal,Normal Sinhala 350.pdf
14,14,130,146,2026-03-24,normal,Normal Sinhala 350.pdf
15,15,135,151,2026-03-24,normal,Normal Sinhala 350.pdf
16,16,140,157,2026-03-24,normal,Normal Sinhala 350.pdf
17,17,147,165,2026-03-24,normal,Normal Sinhala 350.pdf
18,18,152,171,2026-03-24,normal,Normal Sinhala 350.pdf
19,19,159,179,2026-03-24,normal,Normal Sinhala 350.pdf
20,20,164,184,2026-03-24,normal,Normal Sinhala 350.pdf
21,21,171,192,2026-03-24,normal,Normal Sinhala 350.pdf
22,22,176,198,2026-03-24,normal,Normal Sinhala 350.pdf
23,23,183,206,2026-03-24,normal,Normal Sinhala 350.pdf
24,24,189,212,2026-03-24,normal,Normal Sinhala 350.pdf
25,25,195,219,2026-03-24,normal,Normal Sinhala 350.pdf
26,26,201,225,2026-03-24,normal,Normal Sinhala 350.pdf
27,27,208,233,2026-03-24,normal,Normal Sinhala 350.pdf
28,28,213,239,2026-03-24,normal,Normal Sinhala 350.pdf
29,29,220,246,2026-03-24,normal,Normal Sinhala 350.pdf
30,30,227,254,2026-03-24,normal,Normal Sinhala 350.pdf
31,31,232,260,2026-03-24,normal,Normal Sinhala 350.pdf
32,32,239,268,2026-03-24,normal,Normal Sinhala 350.pdf
33,33,244,274,2026-03-24,normal,Normal Sinhala 350.pdf
34,34,251,281,2026-03-24,normal,Normal Sinhala 350.pdf
35,35,256,287,2026-03-24,normal,Normal Sinhala 350.pdf
36,36,263,295,2026-03-24,normal,Normal Sinhala 350.pdf
37,37,268,301,2026-03-24,normal,Normal Sinhala 350.pdf
38,38,275,309,2026-03-24,normal,Normal Sinhala 350.pdf
39,39,280,314,2026-03-24,normal,Normal Sinhala 350.pdf
40,40,287,322,2026-03-24,normal,Normal Sinhala 350.pdf
41,41,292,328,2026-03-24,normal,Normal Sinhala 350.pdf
42,42,299,336,2026-03-24,normal,Normal Sinhala 350.pdf
43,43,304,342,2026-03-24,normal,Normal Sinhala 350.pdf
44,44,311,349,2026-03-24,normal,Normal Sinhala 350.pdf
45,45,317,355,2026-03-24,normal,Normal Sinhala 350.pdf
46,46,323,363,2026-03-24,normal,Normal Sinhala 350.pdf
47,47,329,369,2026-03-24,normal,Normal Sinhala 350.pdf
48,48,336,376,2026-03-24,normal,Normal Sinhala 350.pdf
49,49,341,382,2026-03-24,normal,Normal Sinhala 350.pdf
50,50,348,390,2026-03-24,normal,Normal Sinhala 350.pdf
51,51,353,396,2026-03-24,normal,Normal Sinhala 350.pdf
52,52,360,404,2026-03-24,normal,Normal Sinhala 350.pdf
53,53,365,409,2026-03-24,normal,Normal Sinhala 350.pdf
54,54,372,417,2026-03-24,normal,Normal Sinhala 350.pdf
55,55,379,425,2026-03-24,normal,Normal Sinhala 350.pdf
56,56,384,431,2026-03-24,normal,Normal Sinhala 350.pdf
57,57,391,439,2026-03-24,normal,Normal Sinhala 350.pdf
58,58,396,444,2026-03-24,normal,Normal Sinhala 350.pdf
59,59,403,452,2026-03-24,normal,Normal Sinhala 350.pdf
60,60,408,458,2026-03-24,normal,Normal Sinhala 350.pdf
61,61,413,464,2026-03-24,normal,Normal Sinhala 350.pdf
62,62,419,470,2026-03-24,normal,Normal Sinhala 350.pdf
63,63,425,477,2026-03-24,normal,Normal Sinhala 350.pdf
64,64,431,483,2026-03-24,normal,Normal Sinhala 350.pdf
65,65,438,491,2026-03-24,normal,Normal Sinhala 350.pdf
66,66,443,497,2026-03-24,normal,Normal Sinhala 350.pdf
67,67,450,505,2026-03-24,normal,Normal Sinhala 350.pdf
68,68,455,510,2026-03-24,normal,Normal Sinhala 350.pdf
69,69,462,518,2026-03-24,normal,Normal Sinhala 350.pdf
70,70,467,524,2026-03-24,normal,Normal Sinhala 350.pdf
71,71,474,532,2026-03-24,normal,Normal Sinhala 350.pdf
72,72,479,538,2026-03-24,normal,Normal Sinhala 350.pdf
73,73,486,545,2026-03-24,normal,Normal Sinhala 350.pdf
74,74,491,551,2026-03-24,normal,Normal Sinhala 350.pdf
75,75,496,557,2026-03-24,normal,Normal Sinhala 350.pdf
76,76,503,565,2026-03-24,normal,Normal Sinhala 350.pdf
77,77,509,570,2026-03-24,normal,Normal Sinhala 350.pdf
78,78,515,578,2026-03-24,normal,Normal Sinhala 350.pdf
79,79,521,584,2026-03-24,normal,Normal Sinhala 350.pdf
80,80,528,592,2026-03-24,normal,Normal Sinhala 350.pdf
81,81,533,598,2026-03-24,normal,Normal Sinhala 350.pdf
82,82,540,605,2026-03-24,normal,Normal Sinhala 350.pdf
83,83,545,611,2026-03-24,normal,Normal Sinhala 350.pdf
84,84,552,619,2026-03-24,normal,Normal Sinhala 350.pdf
85,85,557,625,2026-03-24,normal,Normal Sinhala 350.pdf
86,86,564,633,2026-03-24,normal,Normal Sinhala 350.pdf
87,87,569,638,2026-03-24,normal,Normal Sinhala 350.pdf
88,88,576,646,2026-03-24,normal,Normal Sinhala 350.pdf
89,89,581,652,2026-03-24,normal,Normal Sinhala 350.pdf
90,90,588,660,2026-03-24,normal,Normal Sinhala 350.pdf
91,91,593,666,2026-03-24,normal,Normal Sinhala 350.pdf
92,92,600,673,2026-03-24,normal,Normal Sinhala 350.pdf
93,93,605,679,2026-03-24,normal,Normal Sinhala 350.pdf
94,94,612,687,2026-03-24,normal,Normal Sinhala 350.pdf
95,95,617,693,2026-03-24,normal,Normal Sinhala 350.pdf
96,96,624,701,2026-03-24,normal,Normal Sinhala 350.pdf
97,97,630,706,2026-03-24,normal,Normal Sinhala 350.pdf
98,98,635,712,2026-03-24,normal,Normal Sinhala 350.pdf
99,99,642,720,2026-03-24,normal,Normal Sinhala 350.pdf
100,100,647,726,2026-03-24,normal,Normal Sinhala 350.pdf
101,101,654,733,2026-03-24,normal,Normal Sinhala 350.pdf
102,102,659,739,2026-03-24,normal,Normal Sinhala 350.pdf
103,103,666,747,2026-03-24,normal,Normal Sinhala 350.pdf
104,104,671,753,2026-03-24,normal,Normal Sinhala 350.pdf
105,105,678,761,2026-03-24,normal,Normal Sinhala 350.pdf
106,106,683,766,2026-03-24,normal,Normal Sinhala 350.pdf
107,107,690,774,2026-03-24,normal,Normal Sinhala 350.pdf
108,108,695,780,2026-03-24,normal,Normal Sinhala 350.pdf
109,109,702,788,2026-03-24,normal,Normal Sinhala 350.pdf
110,110,707,794,2026-03-24,normal,Normal Sinhala 350.pdf
111,111,714,801,2026-03-24,normal,Normal Sinhala 350.pdf
112,112,720,807,2026-03-24,normal,Normal Sinhala 350.pdf
113,113,726,815,2026-03-24,normal,Normal Sinhala 350.pdf
114,114,732,821,2026-03-24,normal,Normal Sinhala 350.pdf
115,115,739,829,2026-03-24,normal,Normal Sinhala 350.pdf
116,116,744,834,2026-03-24,normal,Normal Sinhala 350.pdf
117,117,751,842,2026-03-24,normal,Normal Sinhala 350.pdf
118,118,756,848,2026-03-24,normal,Normal Sinhala 350.pdf
119,119,761,854,2026-03-24,normal,Normal Sinhala 350.pdf
120,120,768,862,2026-03-24,normal,Normal Sinhala 350.pdf
121,121,773,867,2026-03-24,normal,Normal Sinhala 350.pdf
122,122,780,875,2026-03-24,normal,Normal Sinhala 350.pdf
123,123,785,881,2026-03-24,normal,Normal Sinhala 350.pdf
124,124,792,889,2026-03-24,normal,Normal Sinhala 350.pdf
125,125,797,895,2026-03-24,normal,Normal Sinhala 350.pdf
126,126,804,902,2026-03-24,normal,Normal Sinhala 350.pdf
127,127,809,908,2026-03-24,normal,Normal Sinhala 350.pdf
128,128,816,916,2026-03-24,normal,Normal Sinhala 350.pdf
129,129,822,922,2026-03-24,normal,Normal Sinhala 350.pdf
130,130,828,929,2026-03-24,normal,Normal Sinhala 350.pdf
131,131,834,935,2026-03-24,normal,Normal Sinhala 350.pdf
132,132,841,943,2026-03-24,normal,Normal Sinhala 350.pdf
133,133,846,949,2026-03-24,normal,Normal Sinhala 350.pdf
134,134,853,957,2026-03-24,normal,Normal Sinhala 350.pdf
135,135,858,962,2026-03-24,normal,Normal Sinhala 350.pdf
136,136,865,970,2026-03-24,normal,Normal Sinhala 350.pdf
137,137,870,976,2026-03-24,normal,Normal Sinhala 350.pdf
138,138,877,984,2026-03-24,normal,Normal Sinhala 350.pdf
139,139,882,990,2026-03-24,normal,Normal Sinhala 350.pdf
140,140,887,995,2026-03-24,normal,Normal Sinhala 350.pdf
141,141,894,1003,2026-03-24,normal,Normal Sinhala 350.pdf
142,142,899,1009,2026-03-24,normal,Normal Sinhala 350.pdf
143,143,906,1017,2026-03-24,normal,Normal Sinhala 350.pdf
144,144,912,1023,2026-03-24,normal,Normal Sinhala 350.pdf
145,145,918,1030,2026-03-24,normal,Normal Sinhala 350.pdf
146,146,924,1036,2026-03-24,normal,Normal Sinhala 350.pdf
147,147,931,1044,2026-03-24,normal,Normal Sinhala 350.pdf
148,148,936,1050,2026-03-24,normal,Normal Sinhala 350.pdf
