year,week_start,week_end,arrivals,source
2024,2024-01-01,2024-01-07,45303,SLTDA daily tourist arrivals January 2024
2024,2024-01-08,2024-01-14,47518,SLTDA daily tourist arrivals January 2024
2024,2024-01-15,2024-01-21,49341,SLTDA daily tourist arrivals January 2024
2024,2024-01-22,2024-01-28,47412,SLTDA daily tourist arrivals January 2024
2024,2024-01-29,2024-01-31,18679,SLTDA daily tourist arrivals January 2024
2024,2024-02-01,2024-02-07,52361,SLTDA daily tourist arrivals February 2024
2024,2024-02-08,2024-02-14,55537,SLTDA daily tourist arrivals February 2024
2024,2024-02-15,2024-02-21,52266,SLTDA daily tourist arrivals February 2024
2024,2024-02-22,2024-02-28,51278,SLTDA daily tourist arrivals February 2024
2024,2024-02-29,2024-02-29,6908,SLTDA daily tourist arrivals February 2024
2024,2024-03-01,2024-03-07,47221,SLTDA daily tourist arrivals March 2024
2024,2024-03-08,2024-03-14,43983,SLTDA daily tourist arrivals March 2024
2024,2024-03-15,2024-03-21,47972,SLTDA daily tourist arrivals March 2024
2024,2024-03-22,2024-03-28,50317,SLTDA daily tourist arrivals March 2024
2024,2024-03-29,2024-03-31,19688,SLTDA daily tourist arrivals March 2024
2024,2024-04-01,2024-04-07,39797,SLTDA daily tourist arrivals April 2024
2024,2024-04-08,2024-04-14,36471,SLTDA daily tourist arrivals April 2024
2024,2024-04-15,2024-04-21,31398,SLTDA daily tourist arrivals April 2024
2024,2024-04-22,2024-04-28,31390,SLTDA daily tourist arrivals April 2024
2024,2024-04-29,2024-04-30,9811,SLTDA daily tourist arrivals April 2024
2024,2024-05-01,2024-05-07,28526,SLTDA daily tourist arrivals May 2024
2024,2024-05-08,2024-05-14,23713,SLTDA daily tourist arrivals May 2024
2024,2024-05-15,2024-05-21,27192,SLTDA daily tourist arrivals May 2024
2024,2024-05-22,2024-05-28,23238,SLTDA daily tourist arrivals May 2024
2024,2024-05-29,2024-05-31,9459,SLTDA daily tourist arrivals May 2024
2024,2024-06-01,2024-06-07,22755,SLTDA daily tourist arrivals June 2024
2024,2024-06-08,2024-06-14,26074,SLTDA daily tourist arrivals June 2024
2024,2024-06-15,2024-06-21,28623,SLTDA daily tourist arrivals June 2024
2024,2024-06-22,2024-06-28,26669,SLTDA daily tourist arrivals June 2024
2024,2024-06-29,2024-06-30,9349,SLTDA daily tourist arrivals June 2024
2024,2024-07-01,2024-07-07,43203,SLTDA daily tourist arrivals July 2024
2024,2024-07-08,2024-07-14,42440,SLTDA daily tourist arrivals July 2024
2024,2024-07-15,2024-07-21,42649,SLTDA daily tourist arrivals July 2024
2024,2024-07-22,2024-07-28,42800,SLTDA daily tourist arrivals July 2024
2024,2024-07-29,2024-07-31,16718,SLTDA daily tourist arrivals July 2024
2024,2024-08-01,2024-08-07,46617,SLTDA daily tourist arrivals August 2024
2024,2024-08-08,2024-08-14,45016,SLTDA daily tourist arrivals August 2024
2024,2024-08-15,2024-08-21,35338,SLTDA daily tourist arrivals August 2024
